metric,mean,std,n
average_accuracy_ak,0.6935,0.0,1.0
average_forgetting,0.1366666666666667,0.0,1.0
average_macro_f1_final,0.5887846123208202,0.0,1.0
bwt,-0.128,0.0,1.0
ewc_lambda,0.0,0.0,1.0
num_classes_union,14.0,0.0,1.0
num_features,39.0,0.0,1.0
num_tasks,4.0,0.0,1.0
replay_buffer_size,0.0,0.0,1.0
seed,42.0,0.0,1.0
task1_flood_ddos_latency_ms_per_sample_after_final,0.02739398437370255,0.0,1.0
task1_flood_ddos_test_acc_after_final,0.571,0.0,1.0
task1_flood_ddos_test_macro_f1_after_final,0.5825165788716149,0.0,1.0
task2_flood_dos_latency_ms_per_sample_after_final,0.028777929719581152,0.0,1.0
task2_flood_dos_test_acc_after_final,0.76,0.0,1.0
task2_flood_dos_test_macro_f1_after_final,0.7723711299412082,0.0,1.0
task3_mirai_latency_ms_per_sample_after_final,0.028037890615451033,0.0,1.0
task3_mirai_test_acc_after_final,0.771,0.0,1.0
task3_mirai_test_macro_f1_after_final,0.6844769923747285,0.0,1.0
task4_recon_latency_ms_per_sample_after_final,0.029272382835188182,0.0,1.0
task4_recon_test_acc_after_final,0.672,0.0,1.0
task4_recon_test_macro_f1_after_final,0.31577374809572956,0.0,1.0
